30064771079			68719476739	9	userPath			
30064771087			30064771093	6	req.body.root			
30064771113			68719476779	8	userPath			
30064771132			68719476804	6	userPath			
30064771134			68719476807	9	userPath			
30064771136			68719476810	12	userPath			
30064771151			68719476821	9	userPath			
30064771151			68719476824	10	userPath			
30064771162			68719476834	8	userPath			
30064771186			68719476860	12	userPath			
30064771186			68719476863	13	userPath			
30064771197			68719476877	6	userPath			
30064771197			68719476880	7	userPath			
30064771215			68719476891	7	userPath			
30064771224			68719476911	9	userPath			
30064771226			68719476914	12	userPath			
30064771228			68719476917	15	userPath			
30064771246			68719476929	12	userPath			
30064771258			68719476952	7	userPath			
30064771270			68719476965	10	userPath			
30064771272			68719476968	13	userPath			
30064771274			68719476971	16	userPath			
30064771275			68719476974	19	userPath			
30064771314			68719477021	6	userPath			
30064771321			68719477030	5	userPath			
