property_id,name,ecosystem,npm_applicable,notes
FALLIBLE_BOUNDED_RESOURCE,"acquisition that can fail (empty/null return) used without a check, or a JS-argument-controlled allocation with no upper bound",js_c_cpp_binding,TRUE,"the npm-native-addon property; the one the stopped 494-package pipeline invokes"
LOCK_BALANCE,"missing-unlock-before-return on an existing lock (incomplete critical-section release)",c_cpp,TRUE,"split out from a former 'thread-safety' umbrella that wrongly bundled two distinct bug patterns into one row -- see README.md Section on the property split"
PROTECTED_FIELD,"a critical section that should exist around shared state but is entirely absent (no lock at all, not an incomplete one)",c_cpp,TRUE,"split out from the same former 'thread-safety' umbrella -- distinct CWE-shape from LOCK_BALANCE (missing guard vs. unbalanced guard)"
OOB_WRITE,"native buffer overflow on write",c_cpp,TRUE,"11 representation-variant implementations; one (single_object_pass.py) is explicitly rejected, the other 11 are sound -- this does NOT make the property unpromotable, see implementations.csv"
OOB_READ,"native buffer over-read",c_cpp,TRUE,"sibling property to OOB_WRITE, single implementation"
OOB_COMPARE,"unsafe memcmp/strncmp extent (comparison reads past a buffer's real bound)",c_cpp,TRUE,"sibling property to OOB_WRITE, single implementation"
WPACL,"reachable AJAX/admin-post/REST handler with no authorization check",php,FALSE,"PHP/WordPress only -- hard npm-inapplicability exclusion"
WPCSRF,"state-changing handler not dominated by a nonce check",php,FALSE,"PHP/WordPress only"
WPIDOR,"authenticated handler acting on a request-supplied object id with no ownership check",php,FALSE,"PHP/WordPress only"
WPOPT,"action handler reaching an options-write sink with no management-capability check",php,FALSE,"PHP/WordPress only"
WP_SQLI,"SQL injection (WordPress taint engine, SQLI_ONLY mode)",php,FALSE,"PHP/WordPress only"
WP_XSS,"cross-site scripting (same taint engine, XSS_ONLY mode)",php,FALSE,"PHP/WordPress only"
DENYLIST_PATTERN_BYPASS,"an exact-match denylist filter bypassed because the surviving string still matches a later unescaped regex/pattern consumer",js_ts,TRUE,""
GLOBAL_SINGLETON_MUTATION,"CWE-116: assignment to a security-sensitive member of an imported module singleton, disabling it process-wide via Node's module cache",js_ts,TRUE,""
GUARD_FALLTHROUGH,"a caller treats a helper as a hard terminator, but the helper is only conditionally terminating and is called bare -- execution falls through to a sensitive sink",js_ts,TRUE,"confirmed actually run against real code (admin-ajax.js), real findings recovered"
MALICIOUS_NPM_INSTALL_EXFIL,"npm install-lifecycle-hook harvest+exfiltration supply-chain pattern",js_ts,TRUE,"confirmed actually run, 13/13 documented 2026-08-24 -- most directly about npm supply-chain risk of any property in this inventory"
UNGUARDED_SERIALIZE_DOS,"JSON.stringify/util.inspect on raw attacker-controlled data, no try/catch, no depth guard, no uncaughtException net -- synchronous crash DoS",js_ts,TRUE,"two independent implementations of the same bug class -- see implementations.csv"
VALIDATION_BYPASS,"a per-element validation loop uses return instead of continue on the first skippable element, abandoning validation of every remaining sibling",js_ts,TRUE,""
SSRF,"attacker control of the outbound request HOST at fetch/axios/http(s).request",js_ts,TRUE,"host only; path/query/body explicitly out of scope"
PATH_TRAVERSAL,"attacker control of the resolved filesystem path at fs.*/res.sendFile",js_ts,TRUE,"no dedicated frozen/gate doc found in scope -- gate status UNVERIFIED, see implementations.csv"
REDOS,"attacker input reaches a regex with a structurally-confirmed catastrophic-backtracking shape",js_ts,TRUE,"real corpus scan (1477 files) found CVE-2025-5892"
NOSQLI,"attacker-controlled input reaches a MongoDB query field without primitive-type constraint ($ne/$regex/$gt/$where injection)",js_ts,TRUE,"Stage1/2 frozen and sound; Stage3 corpus-scale sweep is incomplete/abandoned with a known unfixed classifier gap -- see historical_runs.csv"
COMMAND_INJECTION,"shell command injection via exec/execSync/execFile/spawn",js_ts,TRUE,"characterization scripts exist but were never wired to a property_configs/*.json or a promotion path -- not promotable, see implementations.csv"
FAIL_OPEN_SECURITY_CONTROL,"a Promise.then(fulfilled, rejected) call whose two handlers are syntactically identical, inside a method with security-decision indicators",js_ts,TRUE,"candidate-only by explicit design, never upgraded to a vulnerability claim"
LLM_INSECURE_OUTPUT_HANDLING,"model output reaches eval/exec/SQL, or an HTML/redirect sink (OWASP LLM02)",js_ts,TRUE,"real-world validated on a deployed RocketChat plugin, found and fixed 2 real bugs"
LLM_PROMPT_INJECTION,"request data flows into the system-role prompt content (OWASP LLM01)",js_ts,TRUE,"same implementation file and gate as LLM_INSECURE_OUTPUT_HANDLING -- one file, two distinct properties"
