infra_id,name,file_path,feeds_property_ids,kind,status,notes
INFRA_LINK_NAPI,"JS<->C++ cross-language binding linker",link_napi_facts.py,FALLIBLE_BOUNDED_RESOURCE,cross_language_linker,SOUND,"shared evidence infrastructure, not itself a verdict producer"
INFRA_EXPORT_CCPP,"C/C++ raw-fact exporter",export_c_cpp_facts_v03.sc,FALLIBLE_BOUNDED_RESOURCE;LOCK_BALANCE;PROTECTED_FIELD;OOB_WRITE;OOB_READ;OOB_COMPARE,fact_exporter,SOUND,"already generated for every one of the 452 processed packages -- the load-bearing fact behind Section 4's wiring-gap finding"
INFRA_EXPORT_NEUTRAL,"generic JS/TS fact exporter (Gate-24 portable-program-facts/0.1 pair)",export_neutral.sc,FALLIBLE_BOUNDED_RESOURCE,fact_exporter,SOUND,"the ONLY JS/TS export stage the npm-corpus pipeline runs; does not produce the specialized fact tables the 13 other JS/TS properties need"
INFRA_ADJUDICATE_OOB,"OOB triage/adjudication layer",adjudicate_oob.py,OOB_WRITE,adjudication_layer,SOUND,"currently wired for INDEX_STORE variant only; byte-identical copy also lives in tchecker-property-adjudicator/adjudicator/"
INFRA_WP_ADJUDICATOR,"WordPress finding adjudicator (2nd-layer triage)",profiles/wordpress/instrumentation/adjudicate.py,WPACL;WPCSRF;WPIDOR;WPOPT;WP_SQLI;WP_XSS,adjudication_layer,SOUND,"active, fail-closed, no in-tree gate of its own -- this is infrastructure, NOT a 7th WordPress property, and must not be counted in or subtracted from the property total"
INFRA_NSS_CAPACITY,"struct-member fixed-array capacity model",nss-sslmac-capacity-r01/,OOB_WRITE,capacity_model,SOUND,"24/24 + 24/24-real-Joern + 3 clean regressions; found and fixed a real silent typedef-alias bug in round 3; never run against real NSS source itself (fixture is hand-written, disclosed as unverified against the real file)"
INFRA_GATE39,"Gate-39 state-provenance infrastructure",gate39_state_provenance.py,,other,NOT_REPRODUCIBLE,"own README: NOT REPRODUCIBLE / NOT RUN -- infrastructure, not a security property; must not be subtracted from a property-total (the category error this correction fixes)"
INFRA_MOZ_HMACCT,"one-off ASan dynamic reachability probe",moz-scan-hmacct-dynamic-validation/,,dynamic_probe,SOUND,"single question, result: validation held, no vulnerability found -- not a reusable analyzer, not part of the property taxonomy"
INFRA_MOZ_PATCH,"proposed hardening diff",moz-scan-nss-tls13-aead-iv-hardening.patch,,patch,N/A,"a patch, not an analyzer"
INFRA_MOZ_CVE_LOG,"13-round paired-CVE research log",moz-scan-paired-cve-validation-round1.md,OOB_WRITE,research_log,SOUND,"documents OOB_WRITE family development history against real paired NSS/mozjpeg CVEs; final result on CVE-2019-17006 explicitly NOT ESTABLISHED (blocked on an unresolved macro sign), reported honestly as a negative"
INFRA_MOZ_OOB_R01,"OOB research log",docs/moz-oob-r01/,OOB_WRITE,research_log,SOUND,"empirically found all 3 tested real disclosed Mozilla OOB CVEs MISS identically on vuln/patched under the frozen R03 producer; own internal gate-count citations are NOT self-consistent across rounds -- disclosed, not resolved"
