30064771072			68719476738	20	userPath			
30064771087			68719476748	9	userPath			
30064771095			30064771101	6	req.body.root			
30064771121			68719476788	8	userPath			
30064771140			68719476813	6	userPath			
30064771142			68719476816	9	userPath			
30064771144			68719476819	12	userPath			
30064771159			68719476830	9	userPath			
30064771159			68719476833	10	userPath			
30064771170			68719476843	8	userPath			
30064771194			68719476869	12	userPath			
30064771194			68719476872	13	userPath			
30064771205			68719476886	6	userPath			
30064771205			68719476889	7	userPath			
30064771223			68719476900	7	userPath			
30064771232			68719476920	9	userPath			
30064771234			68719476923	12	userPath			
30064771254			68719476938	12	userPath			
30064771266			68719476961	7	userPath			
30064771274			68719476971	7	userPath			
30064771282			68719476981	12	userPath			
30064771289			68719476986	15	userPath			
30064771321			68719477012	15	userPath			
30064771321			68719477014	17	userPath			
30064771341			68719477034	12	userPath			
30064771350			68719477055	7	userPath			
30064771362			68719477068	10	userPath			
30064771364			68719477071	13	userPath			
30064771366			68719477074	16	userPath			
30064771367			68719477077	19	userPath			
30064771384			68719477099	18	req			
30064771414			68719477133	6	userPath			
30064771421			68719477142	5	userPath			
30064771442			68719477167	15	userPath			
30064771444			68719477170	19	userPath			
