30064771079	11	68719476739	HTTP_PATH_INPUT	ESTABLISHED							
30064771087	6	30064771093	HTTP_PATH_INPUT	ESTABLISHED							
30064771105	5	30064771107	HTTP_PATH_INPUT	ESTABLISHED							
30064771121	6	68719476793	HTTP_PATH_INPUT	ESTABLISHED							
30064771132	6	68719476804	HTTP_PATH_INPUT	ESTABLISHED							
30064771134	9	68719476807	HTTP_PATH_INPUT	ESTABLISHED							
30064771136	12	68719476810	HTTP_PATH_INPUT	ESTABLISHED							
30064771151	10	68719476821	HTTP_PATH_INPUT	ESTABLISHED							
30064771151	10	68719476824	HTTP_PATH_INPUT	ESTABLISHED							
30064771162	9	68719476834	HTTP_PATH_INPUT	ESTABLISHED							
30064771169	4	30064771171	HTTP_PATH_INPUT	ESTABLISHED							
30064771186	13	68719476860	HTTP_PATH_INPUT	ESTABLISHED							
30064771186	13	68719476863	HTTP_PATH_INPUT	ESTABLISHED							
30064771197	7	68719476877	HTTP_PATH_INPUT	ESTABLISHED							
30064771197	7	68719476880	HTTP_PATH_INPUT	ESTABLISHED							
30064771215	9	68719476891	HTTP_PATH_INPUT	ESTABLISHED							
30064771236	10	68719476924	HTTP_PATH_INPUT	ESTABLISHED							
