167503724544	getArticle	controllers/articles-controller.js::program:getArticle	false
167503724545	:program	controllers/articles-controller.js::program	false
167503724546	:program	lib/app.js::program	false
167503724547	auditMiddleware	lib/audit-middleware.js::program:auditMiddleware	false
167503724548	:program	lib/audit-middleware.js::program	false
167503724549	lateMiddleware	lib/late-middleware.js::program:lateMiddleware	false
167503724550	:program	lib/late-middleware.js::program	false
167503724551	<lambda>0	lib/user-middleware.js::program:has:<lambda>0	false
167503724552	has	lib/user-middleware.js::program:has	false
167503724553	userMiddleware	lib/user-middleware.js::program:userMiddleware	false
167503724554	:program	lib/user-middleware.js::program	false
167503724555	:program	routes/articles-router.js::program	false
167503724556	exportedHandler	routes/multi-router.js::program:exportedHandler	false
167503724557	unexportedHandler	routes/multi-router.js::program:unexportedHandler	false
167503724558	:program	routes/multi-router.js::program	false
167503724559	orphanHandler	routes/orphan-router.js::program:orphanHandler	false
167503724560	:program	routes/orphan-router.js::program	false
167503724561	tagWriter	routes/tags-router.js::program:tagWriter	false
167503724562	tagHandler	routes/tags-router.js::program:tagHandler	false
167503724563	:program	routes/tags-router.js::program	false
167503724564	ANY	ANY	true
167503724565	Promise<void>	Promise<void>	true
167503724566	Boolean	__ecma.Boolean	true
167503724567	undefined	undefined	true
