47244640259	68719476791	68719476791	94489280515
47244640260	30064771198	68719476860	94489280565
47244640260	30064771198	68719476861	94489280565
47244640261	30064771240	68719476895	94489280572
47244640261	30064771240	68719476896	94489280572
47244640261	30064771240	68719476897	94489280563
47244640262	30064771261	68719476910	94489280573
47244640263	68719476913	68719476913	94489280572
47244640264	30064771283	68719476926	94489280575
47244640265	30064771403	68719477028	94489280585
47244640265	30064771403	68719477029	94489280585
47244640266	30064771420	68719477046	94489280586
47244640266	30064771420	68719477047	94489280586
47244640267	30064771444	68719477070	94489280584
47244640267	30064771444	68719477071	94489280584
47244640268	30064771576	68719477196	94489280609
47244640268	30064771576	68719477197	94489280609
47244640271	30064771636	68719477242	94489280610
47244640271	30064771636	68719477243	94489280610
47244640272	30064771639	68719477245	94489280617
47244640272	30064771639	68719477246	94489280610
47244640275	30064771771	68719477363	94489280768
47244640278	30064771860	68719477443	94489280768
47244640278	30064771860	68719477444	94489280768
47244640279	30064771876	68719477454	94489280768
47244640279	30064771876	68719477455	94489280768
47244640280	30064771881	68719477456	94489280769
47244640280	30064771881	68719477457	94489280769
47244640280	30064771881	68719477458	94489280624
47244640280	30064771881	68719477459	94489280769
47244640280	30064771881	68719477460	94489280769
47244640280	30064771881	68719477461	94489280768
47244640281	30064771912	68719477478	94489280647
47244640281	30064771912	68719477479	94489280645
47244640284	30064772167	68719477706	94489280684
47244640285	30064772224	68719477750	94489280692
47244640286	30064772594	68719478105	111669149771
47244640287	30064772627	68719478131	94489280972
47244640288	30064772632	68719478136	94489280975
47244640288	30064772632	68719478137	94489280972
47244640291	30064772673	68719478173	94489280982
47244640292	30064772827	68719478321	94489281097
47244640293	30064772843	68719478333	94489281097
47244640294	30064773112	68719478639	94489281151
47244640295	30064773525	68719479032	111669149830
47244640295	30064773525	68719479033	94489281269
47244640295	30064773525	68719479034	94489281269
47244640295	30064773525	68719479035	111669149830
47244640296	30064773542	68719479054	111669149839
47244640297	30064773553	68719479064	111669149839
47244640297	30064773553	68719479065	111669149839
47244640300	30064773597	68719479089	111669149841
47244640303	30064773620	68719479109	94489281292
47244640304	30064773628	68719479114	94489281282
47244640306	68719479140	68719479140	94489281287
47244640309	30064773693	68719479172	94489281312
47244640309	30064773693	68719479173	94489281312
47244640309	30064773693	68719479174	94489281312
47244640310	30064773701	68719479177	94489281312
47244640310	30064773701	68719479178	94489281312
47244640310	30064773701	68719479179	94489281312
47244640311	30064773725	68719479198	94489281322
47244640311	30064773725	68719479199	111669149849
47244640311	30064773725	68719479200	94489281324
47244640311	30064773725	68719479201	94489281324
47244640311	30064773725	68719479202	94489281322
47244640311	30064773725	68719479203	111669149849
47244640312	30064773731	68719479204	94489281322
47244640312	30064773731	68719479205	111669149849
47244640313	30064773739	68719479214	111669149851
47244640314	30064773762	68719479231	94489281320
47244640315	30064773792	68719479255	94489281338
47244640315	30064773792	68719479256	111669149854
47244640315	30064773792	68719479257	111669149855
47244640316	30064774833	68719480165	94489281636
47244640317	30064774960	68719480280	94489281678
