90194313216	30064771072	1	TElURVJBTA==	IkR0bHMxM1J0eEFkZEFjayI=		Y2hhcio=	35
30064771074	30064771073	1	Q0FMTA==	d2NfTG9ja011dGV4KCZzc2wtPmR0bHMxM1J0eC5tdXRleCk=		aW50	38
90194313217	30064771073	2	TElURVJBTA==	MA==		aW50	38
30064771075	30064771074	1	Q0FMTA==	JnNzbC0+ZHRsczEzUnR4Lm11dGV4		QU5Z	38
30064771076	30064771075	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHgubXV0ZXg=		QU5Z	38
30064771077	30064771076	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	38
55834574849	30064771076	2	RklFTERfSURFTlRJRklFUg==	bXV0ZXg=			38
68719476736	30064771077	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	38
55834574848	30064771077	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			38
68719476737	30064771078	1	SURFTlRJRklFUg==	cHJldk5leHQ=	cHJldk5leHQ=	RHRsczEzUmVjb3JkTnVtYmVyKio=	42
30064771079	30064771078	2	Q0FMTA==	JnNzbC0+ZHRsczEzUnR4LnNlZW5SZWNvcmRz		QU5Z	42
30064771080	30064771079	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHguc2VlblJlY29yZHM=		QU5Z	42
30064771081	30064771080	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	42
55834574851	30064771080	2	RklFTERfSURFTlRJRklFUg==	c2VlblJlY29yZHM=			42
68719476738	30064771081	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	42
55834574850	30064771081	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			42
68719476739	30064771082	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	43
30064771083	30064771082	2	Q0FMTA==	c3NsLT5kdGxzMTNSdHguc2VlblJlY29yZHM=		QU5Z	43
30064771084	30064771083	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	43
55834574853	30064771083	2	RklFTERfSURFTlRJRklFUg==	c2VlblJlY29yZHM=			43
68719476740	30064771084	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	43
55834574852	30064771084	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			43
68719476741	30064771085	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	45
68719476742	30064771085	2	SURFTlRJRklFUg==	PHVua25vd24+IE5VTEw=	TlVMTA==	QU5Z	45
68719476743	30064771086	1	SURFTlRJRklFUg==	cHJldk5leHQ=	cHJldk5leHQ=	RHRsczEzUmVjb3JkTnVtYmVyKio=	45
30064771087	30064771086	2	Q0FMTA==	JmN1ci0+bmV4dA==		QU5Z	45
30064771088	30064771087	1	Q0FMTA==	Y3VyLT5uZXh0		QU5Z	45
68719476744	30064771088	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	45
55834574854	30064771088	2	RklFTERfSURFTlRJRklFUg==	bmV4dA==			45
68719476745	30064771089	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	45
30064771090	30064771089	2	Q0FMTA==	Y3VyLT5uZXh0		QU5Z	45
68719476746	30064771090	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	45
55834574855	30064771090	2	RklFTERfSURFTlRJRklFUg==	bmV4dA==			45
30064771092	30064771091	1	Q0FMTA==	dzY0RXF1YWwoY3VyLT5lcG9jaCwgZXBvY2gp		aW50	46
30064771094	30064771091	2	Q0FMTA==	dzY0RXF1YWwoY3VyLT5zZXEsIHNlcSk=		aW50	46
30064771093	30064771092	1	Q0FMTA==	Y3VyLT5lcG9jaA==		QU5Z	46
68719476748	30064771092	2	SURFTlRJRklFUg==	ZXBvY2g=	ZXBvY2g=	dzY0d3JhcHBlcg==	46
68719476747	30064771093	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	46
55834574856	30064771093	2	RklFTERfSURFTlRJRklFUg==	ZXBvY2g=			46
30064771095	30064771094	1	Q0FMTA==	Y3VyLT5zZXE=		QU5Z	46
68719476750	30064771094	2	SURFTlRJRklFUg==	c2Vx	c2Vx	dzY0d3JhcHBlcg==	46
68719476749	30064771095	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	46
55834574857	30064771095	2	RklFTERfSURFTlRJRklFUg==	c2Vx			46
30064771097	30064771096	1	Q0FMTA==	JnNzbC0+ZHRsczEzUnR4Lm11dGV4		QU5Z	49
30064771098	30064771097	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHgubXV0ZXg=		QU5Z	49
30064771099	30064771098	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	49
55834574859	30064771098	2	RklFTERfSURFTlRJRklFUg==	bXV0ZXg=			49
68719476751	30064771099	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	49
55834574858	30064771099	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			49
30064771101	30064771100	1	Q0FMTA==	dzY0TFQoZXBvY2gsIGN1ci0+ZXBvY2gp		aW50	53
30064771103	30064771100	2	Q0FMTA==	dzY0RXF1YWwoZXBvY2gsIGN1ci0+ZXBvY2gpCiAgICAgICAgICAgICAgICAgICAgICAgICAgICAmJiB3NjRMVChzZXEsIGN1ci0+c2VxKQ==		QU5Z	54
68719476752	30064771101	1	SURFTlRJRklFUg==	ZXBvY2g=	ZXBvY2g=	dzY0d3JhcHBlcg==	53
30064771102	30064771101	2	Q0FMTA==	Y3VyLT5lcG9jaA==		QU5Z	53
68719476753	30064771102	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	53
55834574860	30064771102	2	RklFTERfSURFTlRJRklFUg==	ZXBvY2g=			53
